Time,ShipKinetic,GranularKinetic,Dissipated
5,490031,4,7296476,0,301,45422
5,500031,4,0414543,0,302,14243
5,510031,3,404238,0,302,77963
5,5200315,2,8191123,0,303,36475
5,5300317,2,2870853,0,303,89676
5,540032,1,809057,0,304,3748
5,550032,1,3858172,0,304,79803
5,5600324,1,0180446,0,305,1658
5,5700326,0,70630634,0,305,47754
5,580033,0,45105606,0,305,7328
5,590033,0,2526337,0,305,9312
5,6000333,0,11126507,0,306,07257
5,6100335,0,027061524,0,306,15677
5,6200337,1,9977586E-05,0,306,1838
5,630034,0,030023165,0,306,1838
5,640034,0,1168401,0,306,1838
5,6500344,0,26012674,0,306,1838
5,6600347,0,45942697,0,306,1838
5,670035,0,71417356,0,306,1838
5,680035,1,0236897,0,306,1838
5,6900353,1,3871909,0,306,1838
5,7000356,1,8037858,0,306,1838
5,710036,2,272479,0,306,1838
5,720036,2,7921731,0,306,1838
5,7300363,3,3616703,0,306,1838
5,7400365,3,979677,0,306,1838
5,7500367,4,6448045,0,306,1838
5,760037,5,355573,0,306,1838
5,770037,6,1104145,0,306,1838
5,7800374,6,9076753,0,306,1838
5,7900376,7,745622,0,306,1838
5,800038,8,622442,0,306,1838
5,810038,9,536246,0,306,1838
5,8200383,10,485083,0,306,1838
5,8300385,11,4669285,0,306,1838
5,840039,12,479696,0,306,1838
5,850039,13,521246,0,306,1838
5,860039,14,589382,0,306,1838
5,8700395,15,681863,0,306,1838
5,8800397,16,796398,0,306,1838
5,89004,17,93066,0,306,1838
5,90004,19,082289,0,306,1838
5,9100404,20,24889,0,306,1838
5,9200406,21,428047,0,306,1838
5,930041,22,617325,0,306,1838
5,940041,23,81427,0,306,1838
5,9500413,25,016415,0,306,1838
5,9600415,26,2213,0,306,1838
5,9700418,27,426445,0,306,1838
5,980042,28,629395,0,306,1838
5,990042,29,827692,0,306,1838
6,0000424,31,018896,0,306,1838
6,0100427,32,20058,0,306,1838
6,020043,33,370354,0,306,1838
6,030043,34,525845,0,306,1838
6,0400434,35,66472,0,306,1838
6,0500436,36,78468,0,306,1838
6,060044,37,883465,0,306,1838
6,070044,38,958878,0,306,1838
6,0800443,40,008743,0,306,1838
6,0900445,41,030975,0,306,1838
6,1000447,42,023533,0,306,1838
6,110045,42,98442,0,306,1838
6,120045,43,911736,0,306,1838
6,1300454,44,803642,0,306,1838
6,1400456,45,658363,0,306,1838
6,150046,46,474224,0,306,1838
6,160046,47,24961,0,306,1838
6,1700463,47,983006,0,306,1838
6,1800466,48,672962,0,306,1838
6,190047,49,318134,0,306,1838
6,200047,49,91728,0,306,1838
6,2100472,50,469227,0,306,1838
6,2200475,50,97293,0,306,1838
6,2300477,51,427414,0,306,1838
6,240048,51,83181,0,306,1838
6,250048,52,185368,0,306,1838
6,2600484,52,48742,0,306,1838
6,2700486,52,737408,0,306,1838
6,280049,52,9349,0,306,1838
6,290049,53,07954,0,306,1838
6,3000493,53,171085,0,306,1838
6,3100495,53,209427,0,306,1838
6,32005,53,194523,0,306,1987
6,33005,53,12646,0,306,26675
6,34005,53,00543,0,306,3878
6,3500504,52,831722,0,306,5615
6,3600507,52,60575,0,306,78748
6,370051,52,32801,0,307,06522
6,380051,51,999096,0,307,39413
6,3900514,51,619724,0,307,7735
6,4000516,51,190712,0,308,2025
6,410052,50,712948,0,308,68027
6,420052,50,18744,0,309,20578
6,4300523,49,61527,0,309,77795
6,4400525,48,997635,0,310,3956
6,4500527,48,3358,0,311,05743
6,460053,47,63112,0,311,76212
6,470053,46,88505,0,312,50818
6,4800534,46,0991,0,313,29413
6,4900537,45,274876,0,314,11835
6,500054,44,414043,0,314,9792
6,510054,43,518353,0,315,87488
6,5200543,42,589603,0,316,80362
6,5300546,41,62966,0,317,76355
6,540055,40,640465,0,318,75275
6,550055,39,623997,0,319,76923
6,5600553,38,582287,0,320,81094
6,5700555,37,51742,0,321,8758
6,5800557,36,431522,0,322,9617
6,590056,35,326748,0,324,06647
6,600056,34,205284,0,325,18793
6,6100564,33,06937,0,326,32385
6,6200566,31,921242,0,327,472
6,630057,30,763172,0,328,63007
6,640057,29,597443,0,329,7958
6,6500573,28,426346,0,330,96692
6,6600575,27,252184,0,332,14108
6,670058,26,077257,0,333,316
6,680058,24,903868,0,334,4894
6,690058,23,734303,0,335,65897
6,7000585,22,570837,0,336,82242
6,7100587,21,415741,0,337,9775
6,720059,20,27125,0,339,122
6,730059,19,139584,0,340,25366
6,7400594,18,022923,0,341,37033
6,7500596,16,923422,0,342,46982
6,76006,15,843192,0,343,55005
6,77006,14,784301,0,344,60895
6,7800603,13,748775,0,345,64447
6,7900605,12,738583,0,346,65466
6,8000607,11,755646,0,347,6376
6,810061,10,80182,0,348,59143
6,820061,9,878904,0,349,51434
6,8300614,8,988632,0,350,4046
6,8400617,8,132667,0,351,26056
6,850062,7,312598,0,352,08063
6,860062,6,529946,0,352,86328
6,8700624,5,786147,0,353,6071
6,8800626,5,0825605,0,354,31067
6,890063,4,420463,0,354,97278
6,900063,3,8010442,0,355,5922
6,9100633,3,2254066,0,356,16782
6,9200635,2,6945632,0,356,69867
6,9300637,2,2094347,0,357,1838
6,940064,1,7708504,0,357,6224
6,950064,1,3795433,0,358,0137
6,9600644,1,0361512,0,358,3571
6,9700646,0,74121475,0,358,652
6,980065,0,49517682,0,358,89804
6,990065,0,29838154,0,359,09485
7,0000653,0,15107411,0,359,24216
7,0100656,0,053400356,0,359,33984
7,020066,0,005406643,0,359,38785
7,030066,0,00703999,0,359,38785
7,0400662,0,05814839,0,359,38785
7,0500665,0,1584813,0,359,38785
7,0600667,0,30769035,0,359,38785
7,070067,0,5053302,0,359,38785
7,080067,0,7508596,0,359,38785
7,0900674,1,0436429,0,359,38785
7,1000676,1,3829511,0,359,38785
7,110068,1,7679638,0,359,38785
7,120068,2,1977708,0,359,38785
7,1300683,2,6713748,0,359,38785
7,1400685,3,187692,0,359,38785
7,1500688,3,7455566,0,359,38785
7,160069,4,3437214,0,359,38785
7,170069,4,9808607,0,359,38785
7,1800694,5,6555758,0,359,38785
7,1900697,6,366392,0,359,38785
7,20007,7,1117697,0,359,38785
7,21007,7,8900995,0,359,38785
7,2200704,8,699713,0,359,38785
7,2300706,9,538879,0,359,38785
7,240071,10,405814,0,359,38785
7,250071,11,298681,0,359,38785
7,2600713,12,215596,0,359,38785
7,2700715,13,154628,0,359,38785
7,2800717,14,113808,0,359,38785
7,290072,15,091129,0,359,38785
7,300072,16,084557,0,359,38785
7,3100724,17,09202,0,359,38785
7,3200727,18,111435,0,359,38785
7,330073,19,140688,0,359,38785
7,340073,20,177654,0,359,38785
7,3500733,21,220198,0,359,38785
7,3600736,22,266176,0,359,38785
7,370074,23,313444,0,359,38785
7,380074,24,359861,0,359,38785
7,3900743,25,403286,0,359,38785
7,4000745,26,441591,0,359,38785
7,4100747,27,472662,0,359,38785
7,420075,28,49441,0,359,38785
7,430075,29,504759,0,359,38785
7,4400754,30,501665,0,359,38785
7,4500756,31,483114,0,359,38785
7,460076,32,447136,0,359,38785
7,470076,33,391785,0,359,38785
7,4800763,34,315166,0,359,38785
7,4900765,35,21542,0,359,38785
7,500077,36,090755,0,359,38785
7,510077,36,93943,0,359,38785
7,520077,37,75974,0,359,38785
7,5300775,38,550064,0,359,38785
7,5400777,39,30884,0,359,38785
7,550078,40,034554,0,359,38785
7,560078,40,725784,0,359,38785
7,5700784,41,38117,0,359,38785
7,5800786,41,99942,0,359,38785
7,590079,42,579334,0,359,38785
7,600079,43,119774,0,359,38785
7,6100793,43,619698,0,359,38785
7,6200795,44,078144,0,359,38785
7,6300797,44,49423,0,359,38785
7,64008,44,867153,0,359,38785
7,65008,45,196217,0,359,38785
7,6600804,45,480797,0,359,38785
7,6700807,45,72038,0,359,38785
7,680081,45,914524,0,359,38785
7,690081,46,062878,0,359,38785
7,7000813,46,165207,0,359,38785
7,7100816,46,221333,0,359,38785
